國文,英文,數學,社會,自然
10,14,15,14,6
10,9,12,7,9
10,9,6,12,13
10,9,14,10,11
10,12,11,12,12
9,15,11,7,12
6,9,11,9,15
6,9,12,7,11
14,14,14,6,6
6,14,11,8,14
15,13,12,10,13
14,14,7,9,8
6,11,12,11,15
10,7,13,14,6
8,9,13,8,7
13,15,15,6,15
8,6,11,13,13
10,10,14,13,10
12,11,14,12,8
12,13,14,9,13
6,6,12,9,14
10,7,12,11,15
6,8,9,12,9
11,6,8,9,6
10,13,15,13,13
10,6,10,8,12
13,9,8,13,12
6,11,7,15,11
6,13,14,7,9
12,7,9,12,10
10,7,13,9,8
9,10,6,6,11
14,11,15,9,10
7,13,11,10,15
14,6,7,13,14
13,13,10,9,12
7,7,8,8,11
7,8,8,15,15
6,7,12,9,10
15,9,14,14,13
11,13,14,12,9
11,7,15,6,14
11,13,8,14,12
10,13,15,12,8
9,12,12,6,9
10,6,9,12,6
8,9,12,9,10
8,9,11,13,11
6,13,9,6,9
8,7,12,15,15
7,11,8,12,15
11,14,7,13,9
13,13,11,12,6
8,12,11,12,7
14,13,13,6,13
6,8,13,10,6
7,11,13,12,15
15,15,10,9,8
14,15,13,8,7
9,10,10,11,6
13,8,7,15,8
12,9,7,14,14
7,15,10,9,15
12,13,10,15,6
10,13,11,8,12
12,11,10,9,13
13,10,13,15,15
14,8,8,6,8
7,10,10,14,13
15,7,11,9,12
11,14,7,8,8
8,7,12,10,13
6,15,11,15,11
8,11,13,9,8
12,13,15,7,6
15,13,15,14,6
13,15,12,6,7
7,13,13,14,9
15,7,13,11,7
6,14,15,6,13
9,7,6,12,15
12,13,10,7,11
12,9,8,6,14
7,9,10,11,6
15,8,14,13,15
13,14,13,14,9
12,12,13,13,15
6,14,9,6,15
9,11,6,11,12
14,11,9,9,12
7,11,10,9,15
6,12,9,6,11
9,7,7,8,12
12,6,15,8,12
15,7,9,8,13
6,15,7,12,15
14,6,9,12,14
9,10,13,8,14
15,12,13,15,9
7,15,15,14,12
